0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:00 +0200] "POST /Projekt/buchungen HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:00 +0200] "GET /Projekt/admin_user.jsp?uid=1 HTTP/1.1" 200 43975
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:00 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:00 +0200] "GET /Projekt/js/admin.js HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:00 +0200] "GET /Projekt/css/admin.css HTTP/1.1" 200 17860
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:02 +0200] "GET /Projekt/verlauf.jsp HTTP/1.1" 200 10120
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:02 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:07 +0200] "GET /Projekt/profil.jsp HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:07 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:11 +0200] "GET /Projekt/verlauf.jsp HTTP/1.1" 200 10120
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:11 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:12 +0200] "POST /Projekt/buchungen HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:12 +0200] "GET /Projekt/buchung_bearbeiten.jsp?uid=1&buchungid=293 HTTP/1.1" 200 6892
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:12 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:14 +0200] "POST /Projekt/buchungen HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:14 +0200] "GET /Projekt/admin_user.jsp?uid=1 HTTP/1.1" 200 43975
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:14 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:17 +0200] "GET /Projekt/index.jsp HTTP/1.1" 200 6104
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:17 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
